name_zone,zone_range,streak_fga,streak_pct,streak_pps
Back Court,Back Court Shot,1,0,0
Center,16-24 ft.,14,0.21428571428571427,0.42857142857142855
Center,24+ ft.,27,0.6666666666666666,1.3333333333333333
Center,8-16 ft.,14,0.5714285714285714,1.1428571428571428
Center,Less Than 8 ft.,78,0.6923076923076923,1.3846153846153846
Left Side,16-24 ft.,13,0.6923076923076923,1.3846153846153846
Left Side,24+ ft.,22,0.8181818181818182,1.6363636363636365
Left Side,8-16 ft.,20,0.5,1
Left Side Center,16-24 ft.,16,0.375,0.75
Left Side Center,24+ ft.,74,0.5405405405405406,1.0945945945945945
Right Side,16-24 ft.,12,0.5833333333333334,1.1666666666666667
Right Side,24+ ft.,32,0.6875,1.40625
Right Side,8-16 ft.,24,0.625,1.25
Right Side Center,16-24 ft.,37,0.43243243243243246,0.8648648648648649
Right Side Center,24+ ft.,107,0.794392523364486,1.5981308411214954
